timestamp,open,high,low,close,volume
1745552100000,93160.3,93218.4,93103.0,93216.0,131.333
1745552400000,93216.0,93315.1,93209.0,93262.4,322.765
1745552700000,93262.4,93323.8,93222.5,93323.8,198.072
1745553000000,93323.8,93332.7,93276.5,93276.6,197.993
1745553300000,93276.6,93292.1,93221.3,93259.9,64.878
1745553600000,93259.9,93300.0,93207.6,93291.8,134.72
1745553900000,93291.8,93416.0,93267.6,93383.6,456.352
1745554200000,93383.6,93439.8,93315.6,93420.7,197.348
1745554500000,93420.7,93424.8,93358.1,93358.2,99.849
1745554800000,93358.2,93395.0,93333.4,93333.4,82.583
1745555100000,93333.4,93333.5,93158.0,93164.0,308.322
1745555400000,93164.0,93195.6,93012.0,93086.4,454.868
1745555700000,93086.4,93119.1,93031.3,93117.4,199.048
1745556000000,93117.4,93178.6,93114.5,93147.2,89.956
1745556300000,93147.2,93158.0,93081.9,93092.1,61.068
1745556600000,93092.1,93108.1,93025.0,93039.4,81.466
1745556900000,93039.4,93039.5,92982.6,93000.0,191.473
1745557200000,93000.0,93139.9,92951.1,93123.7,297.559
1745557500000,93123.7,93200.0,93115.8,93189.5,123.834
1745557800000,93189.5,93317.6,93180.9,93285.0,333.212
1745558100000,93285.0,93340.0,93285.0,93338.9,130.174
1745558400000,93338.9,93370.8,93250.0,93268.4,87.496
1745558700000,93268.4,93350.1,93257.4,93344.1,47.726
1745559000000,93344.1,93361.0,93250.0,93267.4,114.931
1745559300000,93267.4,93267.4,93210.0,93250.4,59.701
1745559600000,93250.4,93250.5,93210.0,93232.0,46.484
1745559900000,93232.0,93287.1,93217.3,93247.2,62.013
1745560200000,93247.2,93248.2,93171.0,93171.0,45.15
1745560500000,93171.0,93187.2,93161.1,93161.8,62.905
1745560800000,93161.8,93210.0,93153.8,93202.5,78.965
1745561100000,93202.5,93308.4,93200.0,93286.0,92.089
1745561400000,93286.0,93375.6,93255.9,93291.6,123.666
1745561700000,93291.6,93332.4,93206.0,93209.2,63.392
1745562000000,93209.2,93261.5,93165.0,93244.2,62.675
1745562300000,93244.2,93410.9,93244.1,93398.8,129.142
1745562600000,93398.8,93472.5,93380.1,93464.5,306.346
1745562900000,93464.5,93536.2,93435.6,93500.0,236.16
1745563200000,93500.0,93535.0,93471.7,93501.0,92.641
1745563500000,93501.0,93501.0,93404.3,93495.4,121.555
1745563800000,93495.4,93578.0,93495.3,93541.9,116.894
1745564100000,93541.9,93541.9,93498.0,93498.1,49.872
1745564400000,93498.1,93648.1,93498.0,93597.4,405.393
1745564700000,93597.4,93764.2,93597.3,93638.0,665.493
1745565000000,93638.0,93760.6,93557.6,93560.6,471.217
1745565300000,93560.6,93630.6,93509.6,93579.1,303.01
1745565600000,93579.1,93579.1,93454.5,93476.5,239.91
1745565900000,93476.5,93541.2,93472.8,93474.6,91.924
1745566200000,93474.6,93618.0,93461.0,93471.9,163.474
1745566500000,93471.9,93610.0,93471.9,93595.7,108.487
1745566800000,93595.7,93657.6,93541.5,93645.0,217.831
1745567100000,93645.0,93645.0,93520.5,93532.8,146.506
1745567400000,93532.8,93728.4,93532.8,93721.8,169.619
1745567700000,93721.8,93835.0,93710.4,93747.9,358.343
1745568000000,93747.9,93860.7,93653.0,93660.8,238.762
1745568300000,93660.8,93725.0,93612.3,93661.7,145.081
1745568600000,93661.7,93661.8,93595.9,93613.2,93.14
1745568900000,93613.2,93733.9,93590.7,93657.7,95.418
1745569200000,93657.7,93709.3,93595.9,93670.1,36.927
1745569500000,93670.1,93780.0,93646.1,93769.8,190.229
1745569800000,93769.8,93770.7,93685.7,93694.0,58.574
1745570100000,93694.0,93700.0,93670.0,93692.0,41.008
1745570400000,93692.0,93693.6,93638.2,93659.1,59.449
1745570700000,93659.1,93716.7,93641.2,93649.7,86.799
1745571000000,93649.7,93679.9,93616.8,93656.0,74.719
1745571300000,93656.0,93692.9,93630.0,93647.8,43.201
1745571600000,93647.8,93647.9,93557.7,93590.0,144.215
1745571900000,93590.0,93636.7,93550.0,93558.4,64.206
1745572200000,93558.4,93631.4,93533.3,93631.3,117.204
1745572500000,93631.3,93631.4,93505.3,93570.6,71.26
1745572800000,93570.6,93615.7,93570.6,93615.7,49.723
1745573100000,93615.7,93620.0,93585.2,93619.1,41.922
1745573400000,93619.1,93800.0,93605.6,93799.9,198.882
1745573700000,93799.9,93839.1,93731.6,93738.0,111.465
1745574000000,93738.0,93738.0,93661.4,93676.7,96.68
1745574300000,93676.7,93699.3,93634.2,93662.0,80.771
1745574600000,93662.0,93750.0,93640.0,93741.9,62.48
1745574900000,93741.9,93829.3,93741.9,93785.0,219.474
1745575200000,93785.0,93832.0,93669.5,93740.5,159.156
1745575500000,93740.5,93763.4,93690.0,93704.0,102.774
1745575800000,93704.0,93737.0,93655.2,93716.8,112.943
1745576100000,93716.8,93930.8,93674.8,93856.1,506.932
1745576400000,93856.1,93867.0,93616.7,93699.9,270.108
1745576700000,93699.9,93732.2,93617.6,93650.4,108.269
1745577000000,93650.4,93698.2,93618.0,93665.8,91.802
1745577300000,93665.8,93679.5,93551.9,93563.0,316.176
1745577600000,93563.0,93653.9,93562.9,93628.7,91.949
1745577900000,93628.7,93719.2,93561.6,93566.3,214.919
1745578200000,93566.3,93593.0,93537.0,93574.0,180.68
1745578500000,93574.0,93630.3,93566.6,93597.5,68.13
1745578800000,93597.5,93746.8,93597.5,93729.8,118.084
1745579100000,93729.8,93826.6,93718.2,93753.1,210.188
1745579400000,93753.1,93987.0,93753.1,93986.2,328.989
1745579700000,93986.2,94076.5,93918.1,93973.0,728.988
1745580000000,93973.0,94050.0,93934.1,94050.0,287.077
1745580300000,94050.0,94165.6,94025.4,94145.7,402.195
1745580600000,94145.7,94212.4,94130.6,94169.2,459.208
1745580900000,94169.2,94169.3,94040.0,94102.2,486.855
1745581200000,94102.2,94249.9,94102.1,94199.9,394.285
1745581500000,94199.9,94326.2,94181.2,94295.0,354.414
1745581800000,94295.0,94340.0,94266.0,94333.2,282.011
1745582100000,94333.2,94619.6,94333.1,94593.2,1071.977
1745582400000,94593.2,94770.0,94501.2,94602.4,1440.871
1745582700000,94602.4,94644.9,94477.7,94548.3,570.965
1745583000000,94548.3,94979.4,94546.8,94766.3,2328.497
1745583300000,94766.3,94916.7,94710.2,94712.4,1132.765
1745583600000,94712.4,94833.1,94637.1,94663.9,779.634
1745583900000,94663.9,94693.8,94335.1,94428.1,1336.248
1745584200000,94428.1,94591.0,94353.7,94554.1,397.439
1745584500000,94554.1,94734.4,94554.1,94673.8,347.029
1745584800000,94673.8,94799.5,94652.6,94746.6,350.385
1745585100000,94746.6,94818.1,94594.9,94643.4,334.088
1745585400000,94643.4,94644.0,94220.3,94357.9,1464.685
1745585700000,94357.9,94490.0,94340.0,94371.4,314.315
1745586000000,94371.4,94534.7,94360.1,94419.4,466.942
1745586300000,94419.4,94547.0,94246.7,94264.7,394.33
1745586600000,94264.7,94368.2,94193.0,94279.9,353.111
1745586900000,94279.9,94473.2,94260.1,94431.3,195.801
1745587200000,94431.3,94431.3,94276.2,94300.0,103.131
1745587500000,94300.0,94328.6,94150.0,94173.0,243.955
1745587800000,94173.0,94334.3,93888.8,94248.3,1125.274
1745588100000,94248.3,94521.0,94217.0,94380.1,674.3
1745588400000,94380.1,94500.0,94318.4,94407.0,271.306
1745588700000,94407.0,94616.0,94407.0,94559.7,698.469
1745589000000,94559.7,94647.5,94192.7,94330.2,691.663
1745589300000,94330.2,94495.0,94308.6,94350.0,311.475
1745589600000,94350.0,94609.0,94331.7,94492.3,817.358
1745589900000,94492.3,94775.0,94481.8,94722.6,590.915
1745590200000,94722.6,95311.0,94722.6,95276.1,2966.973
1745590500000,95276.1,95276.2,94990.5,95148.0,1177.721
1745590800000,95148.0,95180.0,94500.9,94803.2,2563.124
1745591100000,94803.2,94803.3,94531.0,94647.4,658.574
1745591400000,94647.4,94935.1,94501.3,94868.1,881.85
1745591700000,94868.1,94906.4,94688.9,94850.1,477.879
1745592000000,94850.1,95250.0,94807.6,95231.8,1044.019
1745592300000,95231.8,95554.8,95067.1,95398.3,3369.938
1745592600000,95398.3,95512.9,95215.2,95500.0,1034.691
1745592900000,95500.0,95724.5,95213.0,95335.3,2060.946
1745593200000,95335.3,95556.4,95252.8,95499.4,1367.356
1745593500000,95499.4,95639.7,95263.9,95267.4,764.01
1745593800000,95267.4,95477.2,95199.9,95457.6,549.342
1745594100000,95457.6,95464.1,95180.0,95296.2,332.815
1745594400000,95296.2,95470.3,95237.4,95430.6,331.914
1745594700000,95430.6,95482.2,95250.0,95250.1,277.937
1745595000000,95250.1,95352.5,95144.7,95163.2,626.465
1745595300000,95163.2,95200.0,94798.5,94814.2,1028.81
1745595600000,94814.2,94957.3,94760.1,94926.4,541.332
1745595900000,94926.4,95045.7,94920.5,94954.1,362.358
1745596200000,94954.1,95107.9,94920.0,95098.9,361.139
1745596500000,95098.9,95107.9,95000.0,95012.8,221.9
1745596800000,95012.8,95175.0,94950.0,94992.8,474.329
1745597100000,94992.8,94992.9,94891.0,94949.1,226.74
1745597400000,94949.1,94957.2,94852.8,94859.3,296.268
1745597700000,94859.3,94871.8,94694.9,94755.5,377.201
